Rk,Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R
94,Ed Jones,BUF,23,SS,12,12,1,9,0,9,9
95,Fran Lynch,DEN,30,rb,14,1,1,0,0,0,0
96,Jake Scott*,MIA,30,FS,14,14,1,10,0,10,10
97,Bill Simpson,RAM,24,FS,14,14,1,-3,0,-3,-3
98,Rich Sowells,NYJ,27,LCB,14,13,1,0,0,0,0
99,Jeff Wright,MIN,26,db,3,2,1,22,0,22,22
100,Vic Washington,BUF,29,KR,13,4,,,,,
101,Allen Carter,NWE,23,KR,14,0,,,,,
102,Bruce Laird,BAL,25,KR/SS,14,14,,,,,
103,Bernard Jackson,CIN,25,FS/KR,14,14,,,,,
104,Mike Collier,PIT,22,KR,14,0,,,,,
105,Bobby Thompson,DET,28,KR,14,1,,,,,
106,Steve Davis,NYJ,27,rb,14,1,,,,,
107,Harold Hart,OAK,23,KR,9,4,,,,,
108,Sammy Johnson,SFO,23,,14,0,,,,,
109,Brent McClanahan,MIN,24,KR,12,4,,,,,
110,Willie McGee,RAM,25,KR,14,0,,,,,
111,Woody Green,KAN,24,FB,12,11,,,,,
112,Floyd Little,DEN,33,RB,14,10,,,,,
113,Preston Pearson,DAL,30,KR/RB,14,10,,,,,
114,Leon McQuay,NWE,25,,13,0,,,,,
115,Rickey Young,SDG,22,RB,14,8,,,,,
116,Wallace Francis,ATL,24,KR,14,3,,,,,
117,Walter Payton,CHI,21,RB,13,7,,,,,
118,Doug Dennison,DAL,24,rb,13,4,,,,,
119,Earl Douthitt,CHI,23,,9,0,,,,,
120,Lenvil Elliott,CIN,24,,14,5,,,,,
121,Po James,PHI,26,,14,0,,,,,
122,James McAlister,PHI,24,,14,2,,,,,
123,Cleo Miller,2TM,23,,11,0,,,,,
124,Jess Phillips,OAK,28,rb,14,2,,,,,
125,Leonard Thompson,DET,23,wr,14,1,,,,,
126,Rod McNeill,NOR,24,rb,14,3,,,,,
127,Clarence Davis,OAK,26,RB,11,8,,,,,
128,Mel Blount*+,PIT,27,RCB,14,14,,,,,
129,Charlie Smith,SDG,29,,4,0,,,,,
130,Ken Brown,CLE,30,,14,0,,,,,
131,Carl Garrett,NYJ,28,RB,13,8,,,,,
132,Bob Gresham,NYJ,27,,10,1,,,,,
133,Marshall Johnson,BAL,23,,14,0,,,,,
134,Ed Taylor,NYJ,22,FS,14,9,,,,,
135,Mark van Eeghen,OAK,23,FB,14,8,,,,,
136,Billy Andrews,SDG,30,rlb,14,6,,,,,
137,Kermit Johnson,SFO,23,,11,0,,,,,
138,Horace King,DET,22,,14,0,,,,,
139,Steve Luke,GNB,22,,14,0,,,,,
140,Alvin Maxson,NOR,24,FB,13,13,,,,,
141,Royce McKinney,BUF,22,db,9,1,,,,,
142,Steve Rogers,NOR,22,,13,0,,,,,
143,Bob Brunet,WAS,29,,14,0,,,,,
144,Rick Byas,ATL,25,,14,0,,,,,
145,Ed Marinaro,MIN,25,FB,14,13,,,,,
146,Robert Miller,MIN,22,,14,0,,,,,
147,Ralph Nelson,WAS,21,,14,1,,,,,
148,Mike Strachan,NOR,22,RB,11,11,,,,,
149,Eric Torkelson,GNB,23,,14,0,,,,,
150,Wayne Baker,SFO,22,,14,0,,,,,
151,Steve Burks,NWE,22,,13,0,,,,,
152,Roland Harper,CHI,22,FB,13,10,,,,,
153,Thomas Henderson,DAL,22,,13,0,,,,,
154,Rolland Lawrence,ATL,24,LCB,14,14,,,,,
155,Don McCauley,BAL,26,,14,0,,,,,
156,Robert Pratt,BAL,24,LG,14,9,,,,,
157,Steven Schnarr,BUF,23,,12,0,,,,,
158,Barty Smith,GNB,23,,14,2,,,,,
159,Woody Thompson,ATL,23,,14,4,,,,,
160,John Cappelletti,RAM,23,,13,0,,,,,
161,Bo Cornell,BUF,26,ROLB,14,11,,,,,
162,Pat Curran,SDG,30,TE,14,14,,,,,
163,Greg McCrary,ATL,23,,13,0,,,,,
164,John McDaniel,CIN,24,,14,1,,,,,
165,Hugh McKinnis,CLE,27,FB,14,1,,,,,
166,Don Nottingham,MIA,26,FB,14,13,,,,,
167,Tom Sullivan,PHI,25,RB,14,12,,,,,
168,Mike Weger,DET,30,db,13,4,,,,,
169,Richard Wood,NYJ,22,rlb,14,5,,,,,
170,Charley Young,DAL,23,,12,2,,,,,
171,Pete Banaszak,OAK,31,,14,0,,,,,
172,Bob Breunig,DAL,22,,10,0,,,,,
173,Dexter Bussey,DET,23,FB,13,13,,,,,
174,Jeff Hart,SFO,22,,14,0,,,,,
175,Mike Holmes,SFO,25,db,14,4,,,,,
176,Jim Hooks,DET,25,,12,0,,,,,
177,Percy Howard,DAL,23,,8,0,,,,,
178,Jimmie Kennedy,BAL,23,,14,0,,,,,
179,Jeff Kinney,KAN,26,rb,13,6,,,,,
180,Jim Obradovich,NYG,22,te,14,1,,,,,
181,Oscar Reed,ATL,31,,7,0,,,,,
182,Mike Adamle,CHI,26,rb,14,7,,,,,
183,Dick Ambrose,CLE,22,MLB,14,10,,,,,
184,Bill Bain,GNB,23,,14,3,,,,,
185,Warren Bankston,OAK,28,,14,0,,,,,
186,Don Calhoun,2TM,23,,11,1,,,,,
187,Louis Carter,OAK,22,,8,0,,,,,
188,Rusty Chambers,NOR,22,,12,0,,,,,
189,Brad Cousino,CIN,22,,14,0,,,,,
190,Steve Crosby,NYG,25,,4,0,,,,,
191,Brad Davis,ATL,22,,3,0,,,,,
192,Joe Dawkins,NYG,27,FB,14,12,,,,,
193,Guy Dennis,DET,28,,12,0,,,,,
194,Doug Dressler,2TM,27,,13,0,,,,,
195,Lenny Dunlap,DET,26,db,6,1,,,,,
196,Keith Fahnhorst,SFO,23,t,14,3,,,,,
197,Chuck Foreman*+,MIN,25,RB,14,12,,,,,
198,John Fuqua,PIT,29,rb,14,3,,,,,
199,Tim Gray,STL,23,,14,0,,,,,
200,Windlan Hall,SFO,25,fs/ss,13,7,,,,,
201,Franco Harris*,PIT,25,FB,14,14,,,,,
202,Greg Hartle,STL,24,lb,13,3,,,,,
203,Mike Hennigan,DET,24,,4,0,,,,,
204,Steve Jones,STL,24,,13,1,,,,,
205,Benny Malone,MIA,23,,10,0,,,,,
206,Bobby Maples,DEN,33,C,14,14,,,,,
207,Mark Markovich,SDG,23,,14,0,,,,,
208,Rich McGeorge,GNB,27,TE,14,14,,,,,
209,Reggie McKenzie,BUF,25,LG,14,14,,,,,
210,Eddie Moss,STL,27,,8,0,,,,,
211,Jim Opperman,PHI,22,,10,0,,,,,
212,Dave Osborn,MIN,32,,14,0,,,,,
