Rk,Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R
1,Lynn Swann,PIT,22,PR,12,2,41,577,1,69,14.1
2,Mack Herron,NWE,26,KR/PR/RB,14,14,35,517,0,66,14.8
3,Ron Smith,OAK,31,KR/PR,14,0,41,486,0,55,11.9
4,Billy Johnson,HOU,22,KR/PR,14,5,30,409,0,49,13.6
5,Donnie Walker,BUF,24,PR,14,3,43,384,0,52,8.9
6,Howard Stevens,NOR,24,KR/PR,14,0,37,376,0,40,10.2
7,Bill Thompson,DEN,28,PR/SS,14,14,26,350,0,60,13.5
8,Greg Pruitt*,CLE,23,PR/RB,14,9,27,349,0,72,12.9
9,Jake Scott*+,MIA,29,FS/PR,14,14,31,346,0,30,11.2
10,Al Dodd,ATL,29,PR/WR,14,14,27,344,0,57,12.7
11,Terry Metcalf*,STL,23,KR/PR/RB,14,13,26,340,0,43,13.1
12,Lemar Parrish*,CIN,27,LCB,13,13,18,338,2,90,18.8
13,Roscoe Word,NYJ,22,PR/RCB,14,10,38,301,0,34,7.9
14,Dennis Morgan,DAL,22,KR,13,0,19,287,1,98,15.1
15,Dick Jauron*,DET,24,FS/PR,14,14,17,286,0,58,16.8
16,Tommy Casanova*,CIN,24,FS/PR,14,14,24,265,0,74,11
17,Bill Bradley,PHI,27,FS/PR,14,14,22,248,0,22,11.3
18,Jon Staggers,GNB,26,PR/WR,14,14,22,222,1,68,10.1
19,Gerald Tinker,ATL,23,KR,12,0,14,195,1,72,13.9
20,Cliff Harris*,DAL,26,FS/PR,14,14,26,193,0,19,7.4
21,Jackie Wallace,MIN,23,PR/RCB,14,14,25,191,0,20,7.6
22,Steve Odom,GNB,22,KR,14,7,15,191,1,95,12.7
23,Ike Hill,CHI,27,PR,13,0,33,183,0,15,5.5
24,Pete Athas,NYG,28,LCB/PR,14,14,20,180,0,22,9
25,Thom Darden,CLE,24,FS,14,14,21,173,0,45,8.2
26,Cullen Bryant,RAM,23,KR/PR,14,0,17,171,0,23,10.1
27,Ralph McGill,SFO,24,PR/rcb,13,8,20,166,0,47,8.3
28,Joe Theismann,WAS,25,PR,9,0,15,157,0,44,10.5
29,Manfred Moore,SFO,24,,14,1,5,149,1,88,29.8
30,Herb Mul-Key,WAS,25,,7,0,13,140,0,17,10.8
31,Nat Moore,MIA,23,KR/WR,13,7,9,136,0,42,15.1
32,Ed Podolak,KAN,27,RB,9,8,15,134,0,54,8.9
33,Dave Elmendorf,RAM,25,SS,14,14,17,134,0,18,7.9
34,Jim Bertelsen,RAM,24,FB,13,13,11,132,0,19,12
